maiorAtraso,margemBrutaAcumulada,titulosEmAberto,valorSolicitado,totalAtivo,faturamentoBruto,capitalSocial,RiscoMuitoBaixo,RiscoMedio,RiscoAlto,Restricoes_Bin,MEEPPMEI,EMP_5_ANOS,EMP_10_ANOS,EMP_16_ANOS,EMP_17_ANOS_MAIS,cluster
74,0.3987455958,58080.0,250000,1715761.0,4326265.0,250000.0,0,0,0,0,0,0,0,0,1,1
46,0.3249691358,0.0,10000,1828274.0,2213365.0,120000.0,0,0,0,0,0,0,0,0,1,1
6,0.2918215666,56267.5,150000,13163240.0,17823997.0,0.0,0,0,0,0,1,0,0,0,1,1
47,0.3437652174,0.0,15000,868327.0,2804091.0,30000.0,1,0,0,0,0,0,0,1,0,2
18,0.4448676845,0.0,30000,40604.0,11075.0,15000.0,0,0,0,0,0,1,0,0,0,0
2,0.0,0.0,25000,1710209.0,966762.0,50000.0,0,0,0,0,0,0,0,1,0,2
20,0.4132981729,0.0,20000,209453.0,295474.0,30000.0,0,1,0,0,1,1,0,0,0,0
38,0.2258509034,0.0,350000,171531991.0,260922605.0,30000000.0,1,0,0,0,0,0,0,1,0,2
0,0.2486276634,0.0,225000,53459850.0,6600795.0,1000000.0,1,0,0,0,0,0,0,0,1,1
137,0.4324126004,52100.0,300000,4847748.0,8536726.0,100000.0,0,0,0,0,1,0,1,0,0,3
0,0.0,0.0,20000,0.0,4446456.0,75000.0,0,0,0,0,0,0,0,1,0,2
4,0.422874991,132458.89,250000,31305160.0,30497661.0,400000.0,0,1,0,1,0,1,0,0,0,0
7,0.5077361631,103123.36,400000,9170437.0,32676701.0,1000000.0,1,0,0,0,0,0,0,0,1,1
18,0.471510625,35833.49,250000,3340580.0,7672551.0,103900.0,0,1,0,0,1,0,1,0,0,3
0,0.3897621495,4906.67,100000,11529540.0,6150463.0,1500000.0,1,0,0,0,0,0,0,0,1,1
3,0.3471739714,22333.34,350000,22723758.0,15991371.0,500000.0,0,0,0,0,0,0,0,0,1,1
8,0.4147653373,8760.29,60000,3046254.0,0.0,100000.0,0,0,0,0,0,0,0,0,1,1
24,0.4849939948,0.0,10000,0.0,8009003.0,50000.0,0,0,0,1,0,0,0,0,1,1
0,0.3156109047,0.0,130000,2435375.0,7504363.0,15000.0,1,0,0,0,0,0,0,0,1,1
2,0.393685733,0.0,13000,0.0,1834402.0,95400.0,0,0,0,0,1,0,1,0,0,3
48,0.3982766058,14901.07,22000,11082590.0,71165.0,200000.0,0,0,0,0,0,0,0,1,0,2
5,0.0,0.0,50000,10799107.0,11831372.0,2000000.0,1,0,0,0,0,0,0,0,1,1
3,0.0,0.0,49900,2744500.0,784131.0,200000.0,0,0,0,0,0,0,0,0,1,1
